site_i,site_j,count_unique,count_weighted,mean_energy_eV,weighted_mean_energy_eV,delta_from_global_mean_eV,delta_from_weighted_global_mean_eV,distance_ang,shell_index,shell_distance_ang
21,22,22,166,-3061.351784237273,-3061.352177716626,0.009350880569400033,0.01246692907261604,4.459945712114218,40,4.459945712114218
10,21,40,316,-3061.34999794725,-3061.3507736486076,0.011137170592519396,0.01387099709108952,3.252354141322561,32,3.252354141322561
20,23,18,134,-3061.344418387222,-3061.34914375,0.01671673062037371,0.015500895698551176,8.23864223634979,210,8.23864223634979
14,16,3,18,-3061.3478295733335,-3061.347904511111,0.013305544508966705,0.016740134587507782,6.91573629773957,162,6.91573629773957
11,17,40,316,-3061.349249796,-3061.3478480939234,0.011885321842328267,0.016796551775314583,4.512346477336046,51,4.512346477336046
17,20,46,338,-3061.3463925717388,-3061.347567136686,0.01474254610366188,0.017077509012779046,9.064455713337107,234,9.064455713337107
11,16,7,50,-3061.3471255357144,-3061.3470680287996,0.014009582127982867,0.017576616899077635,9.48781320533636,248,9.48781320533636
5,10,132,1024,-3061.347108275985,-3061.346856566289,0.014026841857230465,0.017788079409911006,4.687796569063402,67,4.687796569063402
5,9,165,1280,-3061.34485460897,-3061.3453785608444,0.016280508872569044,0.019266084854280052,7.3710727916079914,184,7.3710727916079914
22,24,18,134,-3061.3366899044445,-3061.3436640432838,0.02444521339793937,0.020980602414965688,5.433793033656486,100,5.433793033656486
9,18,103,796,-3061.3455801738837,-3061.3433181592472,0.015554943958704825,0.021326486451471283,6.697631186221463,151,6.697631186221463
22,23,16,118,-3061.33499407125,-3061.3432693510163,0.026141046592329076,0.021375294682457024,9.113593590657842,237,9.113593590657842
7,18,21,152,-3061.330532272857,-3061.3415256468425,0.03060284498542387,0.023118998856261896,7.29347977947608,180,7.29347977947608
6,20,18,136,-3061.3346536644444,-3061.3405015052945,0.026481453397991572,0.024143140404248697,4.622934595950814,59,4.622934595950814
9,20,87,668,-3061.3412214670116,-3061.338813992754,0.019913650830858387,0.025830652944932808,4.479814653331899,42,4.480288056512309
2,10,4,28,-3061.32379675,-3061.3383281757147,0.037338367842494335,0.026316469984067226,3.143718361413292,11,3.143718361413292
9,10,87,654,-3061.3381978216094,-3061.3381563139446,0.022937296233067173,0.02648833175408072,4.505883973284262,49,4.506280765326229
11,24,35,276,-3061.3384019922855,-3061.338155361305,0.022733125556896994,0.0264892843938469,3.2613287905053068,34,3.2615280265291524
6,21,11,80,-3061.3266725109092,-3061.3378714255005,0.034462606933175266,0.026773220198265335,7.1472529455190905,177,7.1472529455190905
19,24,24,182,-3061.3349930670834,-3061.3376826358235,0.02614205075906284,0.026962009875205695,8.243667050574127,211,8.243667050574127
21,23,19,142,-3061.3307188557897,-3061.3373689933806,0.030416262052767706,0.027275652318166976,5.366291687609134,96,5.366291687609134
8,17,23,168,-3061.3160237604347,-3061.336589132381,0.04511135740767713,0.028055513317667646,7.300327980857276,181,7.3001992210136315
9,24,85,652,-3061.3379628508237,-3061.336196674172,0.023172267018708226,0.028447971526929905,6.08832513646682,138,6.08832513646682
5,20,82,640,-3061.3337130485365,-3061.335749922625,0.02742206930588509,0.028894723073790374,7.248820291289538,178,7.248820291289538
17,21,48,354,-3061.3271608533337,-3061.3331770986433,0.033974264508742635,0.031467547055399336,6.130738383255535,142,6.130738383255535
