r_lower_ang,r_upper_ang,r_center_ang,pairs_in_bin,weighted_pair_occurrences,weighted_pair_fraction,weighted_configs_with_bin,presence_delta_eV,slope_eV_per_pair,weighted_corr
9.1,9.2,9.149999999999999,2,420.0,0.006587615283267457,420,-0.0027760749208027846,-0.0028903166890071946,-0.003829112110571525
9.200000000000001,9.3,9.25,2,152.0,0.0023840893406110795,152,0.08697032490908896,0.08823244915612301,0.0712371666204567
9.3,9.4,9.350000000000001,6,1696.0,0.026601417905765732,1676,-0.025324476209334534,-0.030331514802845218,-0.07658489011670795
9.4,9.5,9.45,3,906.0,0.014210427253905514,902,-0.054175667983145104,-0.05857812881139839,-0.11176840021755868
9.5,9.6,9.55,1,18.0,0.000282326369282891,18,0.1431115523655535,0.14335438870770245,0.0400833698048969
9.6,9.7,9.649999999999999,0,0.0,0.0,0,nan,nan,nan
9.700000000000001,9.8,9.75,0,0.0,0.0,0,nan,nan,nan
9.8,9.9,9.850000000000001,1,34.0,0.0005332831419787941,34,0.0552813915810475,0.05545884317565485,0.021296070465530118
9.9,10.0,9.95,2,888.0,0.013928100884622624,886,-0.05738508231615924,-0.06255430821798545,-0.11799498241389864
10.0,10.1,10.05,1,2.0,3.136959658698789e-05,2,0.17576884569871254,0.17580193471103087,0.016397698741908474
10.1,10.2,10.149999999999999,0,0.0,0.0,0,nan,nan,nan
