shell_index,shell_distance_ang,pairs_in_shell,weighted_configs_with_shell,presence_delta_eV,slope_eV_per_pair,weighted_corr
96,5.366291687609134,1,142,0.027275652318166976,0.027645085989251205,0.02158369760339816
97,5.39655088892548,1,270,-0.013358388820051914,-0.013706666630310893,-0.014665942479295742
98,5.406077001992073,1,688,0.0495439913388509,0.05297388326983989,0.0886351022005087
99,5.425969232947945,1,496,0.06659064174709783,0.06985115095560612,0.10018884077534086
100,5.433793033656486,1,134,0.020980602414965688,0.021248559020068333,0.01612171531566596
101,5.441860313245718,1,192,0.12390851236568778,0.12618859999711993,0.1142868800344673
102,5.45957318006514,1,124,-0.07033255494661717,-0.07116299075278258,-0.051963843438259584
103,5.465017778831653,1,378,0.06355368681033724,0.06589788017335507,0.08299217125536162
104,5.468575566085367,2,496,-0.05296827212259814,-0.05556178278506409,-0.07969332691718646
105,5.46957832579705,1,124,-0.08068105333359199,-0.0816336767041185,-0.0596096306615169
106,5.481202793034555,1,684,0.003486486750716722,0.0037263536708506,0.0062179786458575696
107,5.485009115567195,1,300,-0.0691745609683494,-0.0711842809287318,-0.08016983953366877
108,5.48826238115821,1,20,-0.08203454630120177,-0.08218924090354802,-0.024221777076972945
109,5.499075685481517,2,96,0.04723256194802161,0.04766317219781602,0.03066429396021834
110,5.506526776789745,1,12,-0.12392116430100941,-0.1240612673723643,-0.028331306493520423
111,5.507873690182207,1,60,0.03275386036511918,0.03293985616298774,0.01678235297090437
112,5.518175524908087,1,628,-0.015678767867484567,-0.016663591457453525,-0.026718078516144484
113,5.526141254001483,1,84,-0.13001326668245383,-0.13104922896890633,-0.07891069044331687
114,5.544079515126543,1,12,-0.03975913430122091,-0.03980408527519421,-0.009089877634741587
115,5.549449713188067,1,964,-0.020224677039550443,-0.022242539665719183,-0.043436680813868374
116,5.5539713888578754,1,100,-0.20728815870188555,-0.20925745529019363,-0.13737662631630368
117,5.56210854231849,1,1212,-0.09785494809602824,-0.1104532269491996,-0.23873551992025824
118,5.564924193028856,1,28,-0.1620219657297639,-0.1624500290498565,-0.056625361925924385
119,5.569304411501565,1,56,0.10315969498424238,0.10370623641239998,0.051054803033215176
120,5.570678111252825,1,44,-0.15353155248340045,-0.15416993731903852,-0.06731473445764954
121,5.576331370631753,1,1396,-0.10184788309879877,-0.11725196162755266,-0.26931708249273223
122,5.578434098678244,1,28,-0.10366015715862886,-0.10393402811757374,-0.03622838354045843
123,5.589846423932145,1,340,-0.06255440736049422,-0.06462212061372366,-0.07732931236501749
124,5.600240420033489,1,12,-0.06760710430171457,-0.06768353969580976,-0.015456581641495434
125,5.602162112742748,1,28,-0.18852797858698978,-0.18902607100294305,-0.06588899827584602
126,5.605207304601414,2,64,-0.11930044742621249,-0.12002334353112698,-0.06314355275610727
127,5.634101838317524,1,132,-0.015095133089289448,-0.015285008979430675,-0.011511274703522372
128,5.677840881967886,1,36,-0.15044119985668658,-0.15095261470286017,-0.05964033781019808
129,5.717730072134825,1,228,0.061580611838962795,0.06293090799936463,0.06200212185716829
130,5.72273457470513,1,4,0.338263685698621,0.3383910679918113,0.04463260748700633
