#step;attempt;energy_eV;energy_low_eV;energy_high_eV
229;3150;  -2985.0839353100;  -2981.2146581501;  -2985.0839353100
230;3166;  -2984.8155060500;  -2981.7856069400;  -2984.8155060500
231;3175;  -2984.6980690200;  -2981.6340354101;  -2984.6980690200
232;3178;  -2984.7598012500;  -2981.6685478900;  -2984.7598012500
233;3179;  -2984.7253194800;  -2981.4630792400;  -2984.7253194800
234;3180;  -2984.5615571800;  -2981.4870595000;  -2984.5615571800
235;3181;  -2984.5176875200;  -2980.4579868200;  -2984.5176875200
236;3183;  -2984.5633825200;  -2979.0338119900;  -2984.5633825200
237;3185;  -2984.5900647100;  -2979.7059674100;  -2984.5900647100
238;3186;  -2985.1705628400;  -2980.4296175100;  -2985.1705628400
239;3212;  -2985.1132024000;  -2979.8066953600;  -2985.1132024000
240;3214;  -2985.0613874200;  -2980.4391371800;  -2985.0613874200
241;3250;  -2985.0613874200;  -2980.4391371800;  -2985.0613874200
242;3252;  -2985.1132024000;  -2979.8066953600;  -2985.1132024000
243;3262;  -2985.0341049500;  -2980.8228553101;  -2985.0341049500
244;3269;  -2985.0554048800;  -2980.8031807900;  -2985.0554048800
245;3285;  -2985.0604658400;  -2980.8164150200;  -2985.0604658400
246;3296;  -2985.0166122700;  -2981.1637043900;  -2985.0166122700
247;3327;  -2985.0022985700;  -2981.1201437001;  -2985.0022985700
248;3328;  -2985.0785963600;  -2980.7751109100;  -2985.0785963600
249;3336;  -2985.0785963600;  -2980.7751109100;  -2985.0785963600
250;3345;  -2984.9589310700;  -2980.1138892500;  -2984.9589310700
251;3348;  -2984.8556240900;  -2981.6907339600;  -2984.8556240900
252;3349;  -2984.8954264000;  -2980.6499322800;  -2984.8954264000
253;3358;  -2984.9389334800;  -2980.8707364801;  -2984.9389334800
254;3359;  -2984.8823008800;  -2980.3437330700;  -2984.8823008800
255;3364;  -2984.9488322400;  -2980.4513591400;  -2984.9488322400
256;3365;  -2985.0604658400;  -2980.8164150200;  -2985.0604658400
257;3386;  -2985.0554048800;  -2980.8031807900;  -2985.0554048800
258;3387;  -2984.7449174100;  -2980.4028750400;  -2984.7449174100
259;3395;  -2984.7805226200;  -2980.0583329300;  -2984.7805226200
260;3396;  -2984.8135322000;  -2980.6536475800;  -2984.8135322000
261;3399;  -2984.7750530400;  -2980.7040984700;  -2984.7750530400
262;3403;  -2984.8436013800;  -2979.9807637300;  -2984.8436013800
