 Configuration with minimum energy:           33
 Configuration with maximum energy:           50

Temperature=      1.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
        28         4  0.131277E+00      0.0021      0.0005
        29         4  0.186943E+00      0.0002      0.0001
        30         4  0.404609E+00      0.0000      0.0000
        31         4  0.468226E-01      0.0556      0.0139
        32         4  0.294263E+00      0.0000      0.0000
        33         4  0.000000E+00      0.3403      0.0851
        34         4  0.194367E+00      0.0002      0.0000
        35         4  0.250267E+00      0.0000      0.0000
        36         4  0.199627E+00      0.0002      0.0000
        37         4  0.803208E-01      0.0152      0.0038
        38         4  0.157011E+00      0.0008      0.0002
        39         4  0.420926E+00      0.0000      0.0000
        40         4  0.183227E-01      0.1675      0.0419
        41         4  0.168158E+00      0.0005      0.0001
        42         4  0.133918E+00      0.0019      0.0005
        43         4  0.267227E+00      0.0000      0.0000
        44         4  0.390049E+00      0.0000      0.0000
        45         4  0.306011E+00      0.0000      0.0000
        46         4  0.911417E-01      0.0100      0.0025
        47         4  0.237545E+00      0.0000      0.0000
        48         4  0.395788E-01      0.0736      0.0184
        49         2  0.354621E+00      0.0000      0.0000
        50         2  0.663069E+00      0.0000      0.0000
        51         2  0.214267E+00      0.0000      0.0000
        52         2  0.355750E+00      0.0000      0.0000
        53         4  0.325733E+00      0.0000      0.0000
        54         4  0.149541E+00      0.0010      0.0003
        55         4  0.722776E-01      0.0208      0.0052
        56         4  0.163884E+00      0.0006      0.0002
        57         4  0.403541E+00      0.0000      0.0000
        58         4  0.127708E+00      0.0024      0.0006
        59         2  0.184992E+00      0.0001      0.0001
        60         2  0.187026E+00      0.0001      0.0001


Temperature=   1000.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1         4  0.241706E+00      0.0060      0.0015
         2         4  0.270455E+00      0.0043      0.0011
