 Configuration with minimum energy:           38
 Configuration with maximum energy:          235

Temperature=      1.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
        56         8  0.205142E-01      0.0594      0.0074
        57         8  0.891694E-01      0.0042      0.0005
        58         8  0.406683E-01      0.0272      0.0034
        59         8  0.370322E-01      0.0313      0.0039
        60         8  0.154744E+00      0.0003      0.0000
        61         8  0.467497E-01      0.0215      0.0027
        62         8  0.149257E-01      0.0737      0.0092
        63         8  0.127478E+00      0.0009      0.0001
        64         8  0.108041E+00      0.0020      0.0003
        65         8  0.656355E-01      0.0104      0.0013
        66         8  0.177480E+00      0.0001      0.0000
        67         8  0.155752E+00      0.0003      0.0000
        68         8  0.216508E+00      0.0000      0.0000
        69         8  0.290559E-01      0.0427      0.0053
        70         8  0.728036E-01      0.0079      0.0010
        71         8  0.235446E+00      0.0000      0.0000
        72         8  0.223507E+00      0.0000      0.0000
        73         8  0.219840E+00      0.0000      0.0000
        74         8  0.386544E+00      0.0000      0.0000
        75         8  0.121803E+00      0.0012      0.0001
        76         8  0.153887E+00      0.0003      0.0000
        77         8  0.209846E+00      0.0000      0.0000
        78         8  0.881372E-01      0.0043      0.0005
        79         8  0.126943E+00      0.0010      0.0001
        80         8  0.124687E+00      0.0011      0.0001
        81         8  0.178429E+00      0.0001      0.0000
        82         8  0.710229E-01      0.0084      0.0011
        83         8  0.831817E-01      0.0053      0.0007
        84         8  0.156013E+00      0.0003      0.0000
        85         8  0.110262E+00      0.0018      0.0002
        86         8  0.151663E+00      0.0004      0.0000
        87         8  0.130879E+00      0.0008      0.0001
        88         8  0.146587E+00      0.0005      0.0001
        89         8  0.180156E+00      0.0001      0.0000
        90         8  0.123201E+00      0.0011      0.0001
        91         8  0.236422E+00      0.0000      0.0000
        92         8  0.205853E+00      0.0000      0.0000
        93         8  0.110802E+00      0.0018      0.0002
        94         8  0.771284E-01      0.0066      0.0008
        95         8  0.137554E+00      0.0006      0.0001
        96         8  0.181227E+00      0.0001      0.0000
        97         8  0.844047E-01      0.0050      0.0006
        98         8  0.158353E+00      0.0003      0.0000
        99         8  0.373817E+00      0.0000      0.0000
       100         8  0.616023E-01      0.0121      0.0015
       101         8  0.112269E+00      0.0017      0.0002
       102         8  0.159022E+00      0.0003      0.0000
       103         8  0.124668E+00      0.0011      0.0001
       104         8  0.648167E-01      0.0107      0.0013
       105         8  0.186555E+00      0.0001      0.0000
       106         8  0.364944E-01      0.0320      0.0040
       107         8  0.256695E+00      0.0000      0.0000
       108         8  0.178496E+00      0.0001      0.0000
       109         8  0.109149E+00      0.0019      0.0002
       110         8  0.141869E+00      0.0005      0.0001
       111         8  0.135930E+00      0.0007      0.0001
       112         8  0.105197E+00      0.0022      0.0003
       113         8  0.112350E+00      0.0017      0.0002
       114         8  0.139568E+00      0.0006      0.0001
       115         8  0.128262E+00      0.0009      0.0001
       116         8  0.290346E+00      0.0000      0.0000
       117         8  0.108353E+00      0.0020      0.0002
       118         8  0.242297E+00      0.0000      0.0000
       119         8  0.198135E+00      0.0001      0.0000
       120         8  0.168311E+00      0.0002      0.0000
       121         8  0.850594E-01      0.0049      0.0006
       122         8  0.170658E+00      0.0002      0.0000
       123         8  0.128128E+00      0.0009      0.0001
       124         8  0.151681E+00      0.0004      0.0000
       125         8  0.224844E+00      0.0000      0.0000
       126         8  0.254543E+00      0.0000      0.0000
       127         8  0.117052E+00      0.0014      0.0002
       128         8  0.159402E+00      0.0003      0.0000
       129         8  0.243488E+00      0.0000      0.0000
       130         8  0.840874E-01      0.0051      0.0006
       131         8  0.134534E+00      0.0007      0.0001
       132         8  0.159257E+00      0.0003      0.0000
       133         8  0.103914E+00      0.0024      0.0003
       134         8  0.237873E+00      0.0000      0.0000
       135         8  0.125546E+00      0.0010      0.0001
       136         8  0.194450E-01      0.0619      0.0077
       137         8  0.249157E+00      0.0000      0.0000
       138         8  0.119233E+00      0.0013      0.0002
       139         8  0.150145E+00      0.0004      0.0000
       140         8  0.119148E+00      0.0013      0.0002
       141         8  0.202021E+00      0.0001      0.0000
       142         8  0.144967E+00      0.0005      0.0001
       143         8  0.127318E+00      0.0010      0.0001
       144         8  0.101373E+00      0.0026      0.0003
       145         8  0.143679E+00      0.0005      0.0001
       146         8  0.876057E-01      0.0044      0.0006
       147         8  0.783313E-01      0.0063      0.0008
       148         8  0.111684E+00      0.0017      0.0002
       149         8  0.301246E+00      0.0000      0.0000
       150         8  0.140996E+00      0.0006      0.0001
       151         8  0.167633E+00      0.0002      0.0000
       152         8  0.206197E+00      0.0000      0.0000
       153         8  0.174316E+00      0.0002      0.0000
       154         8  0.227734E+00      0.0000      0.0000
       155         8  0.192367E+00      0.0001      0.0000
       156         8  0.157125E+00      0.0003      0.0000
       157         8  0.129450E+00      0.0009      0.0001
       158         8  0.138004E+00      0.0006      0.0001
       159         8  0.174143E+00      0.0002      0.0000
       160         8  0.995686E-01      0.0028      0.0003
       161         8  0.154606E+00      0.0003      0.0000
       162         8  0.423447E+00      0.0000      0.0000
       163         8  0.211654E+00      0.0000      0.0000
       164         8  0.255584E+00      0.0000      0.0000
       165         8  0.271955E+00      0.0000      0.0000
       166         8  0.259483E+00      0.0000      0.0000
       167         8  0.236977E+00      0.0000      0.0000
       168         8  0.393881E+00      0.0000      0.0000
       169         8  0.307110E+00      0.0000      0.0000
       170         8  0.168796E+00      0.0002      0.0000
       171         8  0.269730E+00      0.0000      0.0000
       172         8  0.261938E+00      0.0000      0.0000
       173         8  0.205339E+00      0.0000      0.0000
       174         8  0.248357E+00      0.0000      0.0000
       175         8  0.408643E+00      0.0000      0.0000
       176         8  0.234311E+00      0.0000      0.0000
       177         8  0.165078E+00      0.0002      0.0000
       178         8  0.129347E+00      0.0009      0.0001
       179         8  0.183175E+00      0.0001      0.0000
       180         8  0.130166E+00      0.0009      0.0001
       181         8  0.126618E+00      0.0010      0.0001
       182         8  0.230225E+00      0.0000      0.0000
       183         8  0.224439E+00      0.0000      0.0000
       184         8  0.160982E+00      0.0003      0.0000
       185         8  0.902185E-01      0.0040      0.0005
